region_code,weather_param,year,key,value
Max temp,Max temp,1923,ANN,1.42,
Max temp,Max temp,1924,JAN,6.3,
Max temp,Max temp,1924,FEB,5.4,
Max temp,Max temp,1924,MAR,7.2,
Max temp,Max temp,1924,APR,10.1,
Max temp,Max temp,1924,MAY,13.6,
Max temp,Max temp,1924,JUN,16.4,
Max temp,Max temp,1924,JUL,18.0,
Max temp,Max temp,1924,AUG,16.7,
Max temp,Max temp,1924,SEP,15.3,
Max temp,Max temp,1924,OCT,12.3,
Max temp,Max temp,1924,NOV,9.1,
Max temp,Max temp,1924,DEC,8.4,
Max temp,Max temp,1924,WIN,5.83,
Max temp,Max temp,1924,SPR,0.34,
Max temp,Max temp,1924,SUM,7.04,
Max temp,Max temp,1924,AUT,2.22,
Max temp,Max temp,1924,ANN,1.60,
Max temp,Max temp,1925,JAN,7.1,
Max temp,Max temp,1925,FEB,6.7,
Max temp,Max temp,1925,MAR,7.3,
Max temp,Max temp,1925,APR,10.3,
Max temp,Max temp,1925,MAY,14.0,
Max temp,Max temp,1925,JUN,18.5,
Max temp,Max temp,1925,JUL,19.9,
Max temp,Max temp,1925,AUG,18.2,
Max temp,Max temp,1925,SEP,14.1,
Max temp,Max temp,1925,OCT,12.9,
Max temp,Max temp,1925,NOV,6.4,
Max temp,Max temp,1925,DEC,4.8,
Max temp,Max temp,1925,WIN,7.44,
Max temp,Max temp,1925,SPR,0.54,
Max temp,Max temp,1925,SUM,8.88,
Max temp,Max temp,1925,AUT,1.15,
Max temp,Max temp,1925,ANN,1.72,
Max temp,Max temp,1926,JAN,6.5,
Max temp,Max temp,1926,FEB,8.1,
Max temp,Max temp,1926,MAR,8.7,
Max temp,Max temp,1926,APR,12.2,
Max temp,Max temp,1926,MAY,13.1,
Max temp,Max temp,1926,JUN,16.7,
Max temp,Max temp,1926,JUL,19.7,
Max temp,Max temp,1926,AUG,19.2,
Max temp,Max temp,1926,SEP,17.0,
Max temp,Max temp,1926,OCT,10.5,
Max temp,Max temp,1926,NOV,8.0,
Max temp,Max temp,1926,DEC,6.3,
Max temp,Max temp,1926,WIN,6.40,
Max temp,Max temp,1926,SPR,1.32,
Max temp,Max temp,1926,SUM,8.53,
Max temp,Max temp,1926,AUT,1.82,
Max temp,Max temp,1926,ANN,2.18,
Max temp,Max temp,1927,JAN,6.4,
Max temp,Max temp,1927,FEB,6.7,
Max temp,Max temp,1927,MAR,9.4,
Max temp,Max temp,1927,APR,10.5,
Max temp,Max temp,1927,MAY,14.1,
Max temp,Max temp,1927,JUN,15.1,
Max temp,Max temp,1927,JUL,18.3,
Max temp,Max temp,1927,AUG,18.3,
Max temp,Max temp,1927,SEP,14.7,
Max temp,Max temp,1927,OCT,12.9,
Max temp,Max temp,1927,NOV,8.1,
Max temp,Max temp,1927,DEC,3.5,
Max temp,Max temp,1927,WIN,6.47,
Max temp,Max temp,1927,SPR,1.34,
Max temp,Max temp,1927,SUM,7.25,
Max temp,Max temp,1927,AUT,1.90,
Max temp,Max temp,1927,ANN,1.53,
Max temp,Max temp,1928,JAN,7.2,
Max temp,Max temp,1928,FEB,8.0,
Max temp,Max temp,1928,MAR,7.9,
Max temp,Max temp,1928,APR,11.0,
Max temp,Max temp,1928,MAY,14.0,
Max temp,Max temp,1928,JUN,15.5,
Max temp,Max temp,1928,JUL,18.7,
Max temp,Max temp,1928,AUG,18.0,
Max temp,Max temp,1928,SEP,16.0,
Max temp,Max temp,1928,OCT,12.5,
Max temp,Max temp,1928,NOV,9.6,
Max temp,Max temp,1928,DEC,5.8,
Max temp,Max temp,1928,WIN,6.18,
Max temp,Max temp,1928,SPR,0.96,
Max temp,Max temp,1928,SUM,7.42,
Max temp,Max temp,1928,AUT,2.73,
Max temp,Max temp,1928,ANN,2.03,
Max temp,Max temp,1929,JAN,3.5,
Max temp,Max temp,1929,FEB,2.9,
Max temp,Max temp,1929,MAR,11.1,
Max temp,Max temp,1929,APR,9.8,
Max temp,Max temp,1929,MAY,14.8,
Max temp,Max temp,1929,JUN,16.3,
Max temp,Max temp,1929,JUL,19.1,
Max temp,Max temp,1929,AUG,17.8,
Max temp,Max temp,1929,SEP,18.5,
Max temp,Max temp,1929,OCT,11.8,
Max temp,Max temp,1929,NOV,8.9,
Max temp,Max temp,1929,DEC,7.3,
Max temp,Max temp,1929,WIN,4.13,
Max temp,Max temp,1929,SPR,1.90,
Max temp,Max temp,1929,SUM,7.76,
Max temp,Max temp,1929,AUT,3.05,
Max temp,Max temp,1929,ANN,1.87,
Max temp,Max temp,1930,JAN,7.1,
Max temp,Max temp,1930,FEB,4.4,
Max temp,Max temp,1930,MAR,7.5,
Max temp,Max temp,1930,APR,10.6,
Max temp,Max temp,1930,MAY,13.7,
Max temp,Max temp,1930,JUN,18.6,
Max temp,Max temp,1930,JUL,17.7,
Max temp,Max temp,1930,AUG,18.3,
Max temp,Max temp,1930,SEP,15.8,
Max temp,Max temp,1930,OCT,12.4,
Max temp,Max temp,1930,NOV,8.3,
Max temp,Max temp,1930,DEC,6.3,
Max temp,Max temp,1930,WIN,6.31,
Max temp,Max temp,1930,SPR,0.58,
Max temp,Max temp,1930,SUM,8.19,
Max temp,Max temp,1930,AUT,2.19,
Max temp,Max temp,1930,ANN,1.77,
Max temp,Max temp,1931,JAN,5.4,
Max temp,Max temp,1931,FEB,5.8,
Max temp,Max temp,1931,MAR,6.8,
Max temp,Max temp,1931,APR,10.1,
Max temp,Max temp,1931,MAY,14.1,
Max temp,Max temp,1931,JUN,16.4,
Max temp,Max temp,1931,JUL,17.6,
Max temp,Max temp,1931,AUG,17.1,
Max temp,Max temp,1931,SEP,14.5,
Max temp,Max temp,1931,OCT,12.0,
Max temp,Max temp,1931,NOV,9.6,
Max temp,Max temp,1931,DEC,7.5,
Max temp,Max temp,1931,WIN,5.82,
Max temp,Max temp,1931,SPR,0.35,
Max temp,Max temp,1931,SUM,7.03,
Max temp,Max temp,1931,AUT,2.04,
Max temp,Max temp,1931,ANN,1.44,
Max temp,Max temp,1932,JAN,8.5,
Max temp,Max temp,1932,FEB,6.1,
Max temp,Max temp,1932,MAR,7.8,
Max temp,Max temp,1932,APR,9.4,
Max temp,Max temp,1932,MAY,12.8,
Max temp,Max temp,1932,JUN,17.6,
Max temp,Max temp,1932,JUL,18.3,
Max temp,Max temp,1932,AUG,19.6,
Max temp,Max temp,1932,SEP,15.6,
Max temp,Max temp,1932,OCT,11.1,
Max temp,Max temp,1932,NOV,8.4,
Max temp,Max temp,1932,DEC,7.3,
Max temp,Max temp,1932,WIN,7.38,
Max temp,Max temp,1932,SPR,0.01,
Max temp,Max temp,1932,SUM,8.52,
Max temp,Max temp,1932,AUT,1.67,
Max temp,Max temp,1932,ANN,1.90,
